S.No.,District,Total No. of Houses,Total Population,Death Male,Death Female,Death Unknown,Total Death,Injured Male,Injured Female,Total Injured,Govt. Houses Fully Damaged,Govt. Houses Partially Damaged,Private House Fully Damaged,Private House Partially Damaged
45,Kapilbastu,91321,571936,0,0,0,0,5,1,6,0,23,0,66
46,Arghakhanchi,46835,197632,0,0,0,0,0,0,0,0,8,189,352
47,Syangja,68881,289148,0,0,0,0,5,19,24,9,49,5003,11829
48,Tanahu,78309,323288,0,0,0,0,13,14,27,22,54,4927,15918
49,Manang,1480,6538,0,0,0,0,1,0,1,8,12,63,285
50,Mustang,3354,13452,0,0,0,0,0,1,1,2,19,56,616
51,Myagdi,27762,113641,0,0,0,0,8,3,11,0,0,115,1077
52,Baglung,61522,268613,0,0,0,0,11,4,15,2,4,1773,1963
53,Parbat,35719,146590,0,0,0,0,10,11,21,12,63,1805,4169
54,Dang,116415,552583,0,0,0,0,7,3,10,1,28,7,1080
55,Pyuthan,47730,228102,0,0,0,0,5,4,9,0,0,3,66
56,Salyan,46556,242444,0,0,0,0,2,0,2,1,17,24,282
57,Dolpa,7488,36700,0,0,0,0,0,0,0,0,0,1,5
58,Mugu,9619,55286,0,0,0,0,0,0,0,0,0,0,0
59,Humla,9479,50858,0,0,0,0,0,0,0,0,0,0,0
60,Jumla,19303,108921,0,0,0,0,2,0,2,0,0,0,2
61,Kalikot,23013,136948,0,0,0,0,0,0,0,3,17,4,18
62,Jajarkot,30472,171304,0,0,0,0,2,1,3,0,8,0,1877
63,Dailekh,48919,261770,0,0,0,0,0,1,1,0,25,1,216
64,Surkhet,72863,350804,0,0,0,0,1,2,3,0,11,1,31
65,Bardiya,83176,426576,0,0,0,0,1,1,2,0,0,0,40
66,Banke,94773,491313,0,0,0,0,1,0,1,0,0,0,81
67,Kailali,142480,775709,0,0,0,0,0,1,1,0,5,0,4
68,Doti,41440,211746,0,0,0,0,0,0,0,0,1,0,0
69,Achhaam,48351,257477,0,0,0,0,0,0,0,0,0,0,0
70,Bajura,24908,134912,0,0,0,0,0,0,0,0,0,0,1
71,Bajhang,33786,195159,0,0,0,0,0,0,0,0,0,0,0
72,Darchula,24618,133274,0,0,0,0,0,0,0,0,0,0,0
73,Baitadi,45191,250898,0,0,0,0,0,0,0,0,0,0,0
74,Dadeldhura,27045,142094,0,0,0,0,0,0,0,0,0,0,1
75,Kanchanpur,82152,451248,0,0,0,0,1,0,1,0,1,0,0,0
